code,naam,categorie,verwacht_bestand,commons_zoekurl,wikipedia_referentie
W018,Automatisch opstarten,Waarschuwing,ISO_7010_W018.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+W018&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
W019,Verplettering door bewegende delen,Waarschuwing,ISO_7010_W019.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+W019&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
W020,Obstakel boven hoofd,Waarschuwing,ISO_7010_W020.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+W020&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
W021,Brandbaar materiaal,Waarschuwing,ISO_7010_W021.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+W021&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
W022,Scherp element,Waarschuwing,ISO_7010_W022.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+W022&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
W023,Bijtende stof,Waarschuwing,ISO_7010_W023.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+W023&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
W024,Beknelling van handen,Waarschuwing,ISO_7010_W024.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+W024&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
W025,Tegengesteld draaiende rollen,Waarschuwing,ISO_7010_W025.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+W025&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
W026,Batterij opladen,Waarschuwing,ISO_7010_W026.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+W026&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
W027,Optische straling,Waarschuwing,ISO_7010_W027.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+W027&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
W028,Oxiderende stof,Waarschuwing,ISO_7010_W028.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+W028&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
W029,Cilinder onder druk,Waarschuwing,ISO_7010_W029.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+W029&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
W030,Handblessure in pers,Waarschuwing,ISO_7010_W030.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+W030&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
W031,Handletsel door snelle beweging van werkstuk in kantpers,Waarschuwing,ISO_7010_W031.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+W031&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
W032,Snelle beweging van werkstuk in kantpers,Waarschuwing,ISO_7010_W032.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+W032&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
W033,Prikkeldraad,Waarschuwing,ISO_7010_W033.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+W033&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
W034,Stier,Waarschuwing,ISO_7010_W034.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+W034&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
W035,Vallende onderdelen,Waarschuwing,ISO_7010_W035.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+W035&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
W036,Kwetsbaar dak,Waarschuwing,ISO_7010_W036.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+W036&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
W037,Geautomatiseerde of op afstand bestuurde voertuigen,Waarschuwing,ISO_7010_W037.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+W037&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
W038,Plotseling hard geluid,Waarschuwing,ISO_7010_W038.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+W038&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
W039,Vallende ijspegels,Waarschuwing,ISO_7010_W039.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+W039&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
W040,Daklawine,Waarschuwing,ISO_7010_W040.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+W040&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
W041,Ademhalingsgevaar,Waarschuwing,ISO_7010_W041.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+W041&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
W042,Vlambooggevaar,Waarschuwing,ISO_7010_W042.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+W042&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
W043,Dun ijs,Waarschuwing,ISO_7010_W043.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+W043&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
W044,Scheepshelling,Waarschuwing,ISO_7010_W044.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+W044&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
W045,Waterski- of gesleept-wateractiviteitsgebied,Waarschuwing,ISO_7010_W045.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+W045&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
W046,Surfen,Waarschuwing,ISO_7010_W046.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+W046&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
W047,Diep water,Waarschuwing,ISO_7010_W047.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+W047&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
W048,Ondiep water,Waarschuwing,ISO_7010_W048.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+W048&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
W049,Objecten onder water,Waarschuwing,ISO_7010_W049.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+W049&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
W050,Plotselinge daling in zwembad,Waarschuwing,ISO_7010_W050.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+W050&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
W051,Geen vangrail / onbeschermde randen,Waarschuwing,ISO_7010_W051.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+W051&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
W052,Onstabiele klifrand,Waarschuwing,ISO_7010_W052.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+W052&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
W053,Onstabiele klif,Waarschuwing,ISO_7010_W053.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+W053&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
W054,Haaien,Waarschuwing,ISO_7010_W054.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+W054&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
W055,Afvalwaterafvoer,Waarschuwing,ISO_7010_W055.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+W055&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
W056,Tsunami-gevarenzone,Waarschuwing,ISO_7010_W056.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+W056&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
W057,Sterke stroming,Waarschuwing,ISO_7010_W057.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+W057&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
W058,Vaargebied,Waarschuwing,ISO_7010_W058.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+W058&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
W059,Strandvoertuigen / strandzeilen / windkarren,Waarschuwing,ISO_7010_W059.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+W059&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
W060,Opkomende getijden,Waarschuwing,ISO_7010_W060.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+W060&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
W061,"Drijfzand, modder of slib",Waarschuwing,ISO_7010_W061.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+W061&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
W062,Kitesurfen,Waarschuwing,ISO_7010_W062.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+W062&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
W063,Parasailing,Waarschuwing,ISO_7010_W063.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+W063&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
W064,Harde wind,Waarschuwing,ISO_7010_W064.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+W064&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
W065,Hoge branding / grote brekende golven,Waarschuwing,ISO_7010_W065.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+W065&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
W066,Plotselinge daling naar diep water,Waarschuwing,ISO_7010_W066.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+W066&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
W067,"Alligators, kaaimannen en krokodillen",Waarschuwing,ISO_7010_W067.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+W067&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
